Login_ID,Repo_Count,Follower_Count,Member_Since
"

        mbautin  
        ",144, *  1328   , ( 2011-01-08 ) 
"

        BrianGator  
        ",0, 5  , ( 2011-01-14 ) 
"

        yuanwencong  
        ",4, 10  , ( 2011-03-18 ) 
"

        rajanand  
        ",31, 46  , ( 2011-08-27 ) 
"

        eluszmroengi 
",4, 9  , ( 2011-09-06 ) 
"

        3taufbsodc 
",1, 11  , ( 2011-10-10 ) 
"

        momare 
",0, 0  , ( 2011-11-26 ) 
"

        Ryanfahiramaulana  
        ",0, 3  , ( 2011-11-29 ) 
"

        Zer0Root  
        ",3, *  158   , ( 2012-01-02 ) 
"

        waibo  
        ",190, 46  , ( 2012-01-03 ) 
"

        CMoyiersnh 
",0, 26  , ( 2012-01-15 ) 
"

        vrnithinkumar  
        ",116, 43  , ( 2012-02-07 ) 
"

        peterprokop  
        ",74, 39  , ( 2012-02-26 ) 
"

        vvjasher 
",168, 38  , ( 2012-03-07 ) 
"

        yrtoucdannieCnJtB 
",3, 10  , ( 2012-06-20 ) 
"

        drewmeyers  
        ",1, 31  , ( 2012-08-18 ) 
"

        ehnasg 
",2, 31  , ( 2012-08-30 ) 
"

        csjaba  
        ",53, *  853   , ( 2012-09-22 ) 
"

        abhiyerra  
        ",129, 62  , ( 2008-04-11 ) 
"

        brianmario  
        ",33, *  855   , ( 2008-05-26 ) 
"

        DoktahWorm  
        ",10, 11  , ( 2009-10-11 ) 
"

        hhcctflme 
",35, 16  , ( 2008-11-02 ) 
"

        ericabouaf  
        ",109, 99  , ( 2008-12-09 ) 
"

        jpf  
        ",157, *  288   , ( 2008-12-19 ) 
"

        hellojwilde  
        ",49, 44  , ( 2009-01-05 ) 
"

        Siim  
        ",40, 50  , ( 2009-01-05 ) 
"

        minglecm  
        ",35, 78  , ( 2009-01-10 ) 
"

        gcollazo  
        ",89, *  420   , ( 2009-03-07 ) 
"

        allangrant  
        ",15, 35  , ( 2009-03-12 ) 
"

        kanzure  
        ",160, *  474   , ( 2009-07-03 ) 
"

        seanahrens  
        ",18, 15  , ( 2009-07-29 ) 
"

        adeLaJvm 
",40, 27  , ( 2010-01-23 ) 
"

        rmnsotasd 
",7, 8  , ( 2010-08-09 ) 
"

        naharris212  
        ",0, 5  , ( 2010-11-24 ) 
"

        akidhuvracd 
",26, 28  , ( 2010-11-30 ) 
"

        trietptm  
        ",198, *  1355   , ( 2010-12-17 ) 
"

        brajadorable  
        ",11, 47  , ( 2011-05-10 ) 
"

        SourceBoy  
        ",6, 3  , ( 2011-05-16 ) 
"

        ujnrsamo 
",32, *  183   , ( 2011-07-12 ) 
"

        macressler  
        ",947, *  300   , ( 2011-11-16 ) 
"

        MnkyPwz  
        ",20, 17  , ( 2012-01-01 ) 
"

        toxtli  
        ",1150, *  2113   , ( 2012-01-02 ) 
"

        Bunlong  
        ",215, *  1866   , ( 2012-01-06 ) 
"

        b3bakyt  
        ",16, 3  , ( 2012-02-23 ) 
"

        wyntdupom 
",2, 11  , ( 2012-05-04 ) 
"

        csjaba  
        ",53, *  853   , ( 2012-09-22 ) 
"

        brbo2y4bro 
",10, 8  , ( 2012-10-10 ) 
"

        ebbanjirwmmnno 
",130, 43  , ( 2012-10-11 ) 
"

        mountain  
        ",67, *  262   , ( 2008-02-25 ) 
"

        darwin  
        ",143, *  706   , ( 2008-04-06 ) 
"

        collin  
        ",236, *  178   , ( 2008-04-18 ) 
"

        j2nick20 
        ",1, 20  , ( 2014-03-32 ) 
"

        CnocZnoeo 
",73, 36  , ( 2008-05-16 ) 
"

        wouterdebres  
        ",3, 6  , ( 2008-05-19 ) 
"

        rgrnryeenah 
",109, 82  , ( 2008-09-14 ) 
"

        shanx  
        ",80, 32  , ( 2008-10-06 ) 
"

        repaynoppd 
",444, *  865   , ( 2008-10-23 ) 
"

        mathieuravaux  
        ",127, 96  , ( 2008-12-05 ) 
"

        stonegao  
        ",140, *  292   , ( 2008-12-22 ) 
"

        bobpoekert  
        ",97, 85  , ( 2009-01-10 ) 
"

        ticean  
        ",62, 75  , ( 2009-01-15 ) 
"

        karsthammer  
        ",49, 13  , ( 2009-03-23 ) 
"

        llkisralkynii 
",23, 13  , ( 2009-10-07 ) 
"

        bcambel  
        ",74, *  113   , ( 2009-10-25 ) 
"

        fddiaevls 
",3, 13  , ( 2009-12-01 ) 
